m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.1,0.4,-0.5655000000000001,-0.22199999999999998,-0.38100000000000006,-0.279,,,,,-0.694,-0.733,-0.698,-0.7185
0.1,0.5,-0.5805,-0.26149999999999995,-0.42850000000000005,-0.327,,,,,-0.735,-0.769,-0.7535000000000001,-0.7595000000000001
0.1,0.6,-0.625,-0.27149999999999996,-0.496,-0.37449999999999994,,,,,-0.761,-0.7875,-0.784,-0.7975
0.1,0.7,-0.661,-0.3115,-0.5115,-0.36800000000000005,,,,,-0.7915,-0.827,-0.8175,-0.819
0.1,0.8,-0.6955,-0.3595,-0.522,-0.44099999999999995,,,,,-0.8275,-0.86,-0.8385,-0.867
0.1,0.9,-0.736,-0.3795,-0.5815,-0.48350000000000004,,,,,-0.865,-0.897,-0.8985,-0.908
0.2,0.3,-0.46449999999999997,-0.16999999999999998,-0.3245,-0.22449999999999998,,,,,-0.6014999999999999,-0.5409999999999999,-0.6065,-0.6105
0.2,0.4,-0.5369999999999999,-0.20599999999999996,-0.421,-0.28750000000000003,,,,,-0.675,-0.692,-0.7204999999999999,-0.71
0.2,0.5,-0.5765,-0.23150000000000004,-0.42500000000000004,-0.339,,,,,-0.716,-0.7585000000000001,-0.748,-0.7545
0.2,0.6,-0.6205,-0.2835,-0.49,-0.38549999999999995,,,,,-0.766,-0.804,-0.787,-0.8045
0.2,0.7,-0.6639999999999999,-0.3325,-0.5185000000000001,-0.4085,,,,,-0.798,-0.842,-0.8325,-0.838
